codigoUasg,nomeUasg,usoSisg,adesaoSiasg,siglaUf,codigoMunicipio,codigoMunicipioIbge,nomeMunicipioIbge,codigoUnidadePolo,nomeUnidadePolo,codigoUnidadeEspelho,nomeUnidadeEspelho,uasgCadastradora,cnpjCpfUasg,codigoOrgao,cnpjCpfOrgao,cnpjCpfOrgaoVinculado,cnpjCpfOrgaoSuperior,codigoSiorg,statusUasg,dataImplantacaoSidec,dataHoraMovimento
932384,DISTRITO SANITáRIO V,True,True,DF,25313.0,,,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932382,DISTRITO SANITáRIO III,True,True,DF,25313.0,,,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
840010,CENTRO DE SERVIÇOS COMPARTILHADOS,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,84000,49203332000162,,,,True,2023-11-07T03:00:00.000+00:00,2023-12-27T14:09:00
820902,COORDENAÇÃO-GERAL DE LIC. E CONTRATOS/MSP,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,82000,29971283000109,00394411000109,00394411000109,230233,True,2018-08-27T03:00:00.000+00:00,2018-12-15T14:06:00
817002,FUNDO NACIONAL DO IDOSO,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-11-16T03:00:00.000+00:00,2019-12-15T11:36:00
817001,FUNDO NACIONAL PARA A CRIANÇA E O ADOLESCENTE,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-11-16T03:00:00.000+00:00,2019-12-15T11:36:00
810032,CENTRO DE SERVICOS COMPARTILHADOS-MDHC,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2024-03-20T03:00:00.000+00:00,2024-03-20T14:59:00
810021,COMISSÃO DE ANISTIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2019-05-23T03:00:00.000+00:00,2019-12-15T11:31:00
810014,SECRETARIA NACIONAL DA JUVENTUDE,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,20101,00394411000109,00394411000109,,00314727,True,2019-05-23T03:00:00.000+00:00,2023-09-08T15:12:00
810013,SECRETARIA NACIONAL DA FAMÍLIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2019-05-23T03:00:00.000+00:00,2019-12-15T11:30:00
810012,MINISTÉRIO DAS MULHERES,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,65000,05510958000146,00394411000109,00394411000109,308815,True,2023-06-22T03:00:00.000+00:00,2024-03-18T10:38:00
810010,SEC NAC DOS DIR DA  CRIANÇA E DO ADOLESCENTE,True,True,DF,97012.0,5300108.0,BRASÍLIA,810005,COORDENAÇÃO-GERAL DE LOGÍSTICA DO MDH,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-08-16T03:00:00.000+00:00,2017-12-16T13:08:00
810009,SEC.NAC.DE PROM.E DEF.DOS DIR.DA PESSOA IDOSA,True,True,DF,97012.0,5300108.0,BRASÍLIA,810005,COORDENAÇÃO-GERAL DE LOGÍSTICA DO MDH,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-08-16T03:00:00.000+00:00,2017-12-16T13:08:00
810008,MINISTÉRIO DA IGUALDADE RACIAL - MIR,True,True,DF,97012.0,5300108.0,BRASÍLIA,810005,COORDENAÇÃO-GERAL DE LOGÍSTICA DO MDH,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2023-06-21T03:00:00.000+00:00,2023-06-21T08:27:00
810007,SEC. NAC. DOS DIR DA PESSOAS COM DEFICIÊNCIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,810005,COORDENAÇÃO-GERAL DE LOGÍSTICA DO MDH,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-08-15T03:00:00.000+00:00,2017-12-16T13:08:00
810006,SECRETARIA NACIONAL DA CIDADANIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,810005,COORDENAÇÃO-GERAL DE LOGÍSTICA DO MDH,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-08-15T03:00:00.000+00:00,2017-12-16T13:08:00
