codigoUasg,nomeUasg,usoSisg,adesaoSiasg,siglaUf,codigoMunicipio,codigoMunicipioIbge,nomeMunicipioIbge,codigoUnidadePolo,nomeUnidadePolo,codigoUnidadeEspelho,nomeUnidadeEspelho,uasgCadastradora,cnpjCpfUasg,codigoOrgao,cnpjCpfOrgao,cnpjCpfOrgaoVinculado,cnpjCpfOrgaoSuperior,codigoSiorg,statusUasg,dataImplantacaoSidec,dataHoraMovimento
932399,DISTRITO SANITáRIO VII,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932385,DISTRITO SANITáRIO VI,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932384,DISTRITO SANITáRIO V,True,True,DF,25313.0,,,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932383,DISTRITO SANITáRIO IV,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932382,DISTRITO SANITáRIO III,True,True,DF,25313.0,,,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
932381,DISTRITO SANITáRIO II,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,False,,85622,10565000000192,10571982000125,0,,True,,2025-03-17T09:26:00
932380,"SECRETARIA DE CIêNCIA, TECNOLOGIA E INOVAçãO",True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,True,,85622,10565000000192,10571982000125,0,,True,2025-02-11T03:00:00.000+00:00,2025-03-17T09:26:00
931685,1º BATALHÃO DE POLÍCIA DE TRÂNSITO,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,False,,85691,11433190001471,10571982000125,0,,True,2024-08-23T03:00:00.000+00:00,2024-08-23T12:59:00
931446,CONSELHO REGIONAL DE ECONOMIA 5 REGIÃO BAHIA,True,True,BA,38490.0,2927408.0,SALVADOR,0,,0,,False,,39094,42186866000189,13937032000160,0,,True,2024-06-03T03:00:00.000+00:00,2024-06-03T12:42:00
931444,CONSELHO REGIONAL DE BIOLOGIA DA 10ª REGIÃO,True,True,ES,57053.0,3205309.0,VITÓRIA,0,,0,,False,,39093,53882509000171,27080530000143,0,,True,2024-05-29T03:00:00.000+00:00,2024-05-29T17:36:00
931422,CONSELHO REGIONAL DE ECONOMIA 9ª REGIÃO/PA,True,True,PA,4278.0,1501402.0,BELÉM,0,,0,,False,,39091,05436526000132,05054861000176,0,,True,2024-05-23T03:00:00.000+00:00,2024-05-23T10:21:00
931371,CONSELHO REG.FISIOT.TERAPIA OCUPACIONAL 18ªR,True,True,RO,35.0,1100205.0,PORTO VELHO,0,,0,,False,,39090,32713407000152,00394585000171,0,,True,2024-05-09T03:00:00.000+00:00,2024-05-09T16:35:00
840010,CENTRO DE SERVIÇOS COMPARTILHADOS,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,84000,49203332000162,,,,True,2023-11-07T03:00:00.000+00:00,2023-12-27T14:09:00
820902,COORDENAÇÃO-GERAL DE LIC. E CONTRATOS/MSP,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,82000,29971283000109,00394411000109,00394411000109,230233,True,2018-08-27T03:00:00.000+00:00,2018-12-15T14:06:00
817002,FUNDO NACIONAL DO IDOSO,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-11-16T03:00:00.000+00:00,2019-12-15T11:36:00
817001,FUNDO NACIONAL PARA A CRIANÇA E O ADOLESCENTE,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2017-11-16T03:00:00.000+00:00,2019-12-15T11:36:00
810032,CENTRO DE SERVICOS COMPARTILHADOS-MDHC,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2024-03-20T03:00:00.000+00:00,2024-03-20T14:59:00
810021,COMISSÃO DE ANISTIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2019-05-23T03:00:00.000+00:00,2019-12-15T11:31:00
810014,SECRETARIA NACIONAL DA JUVENTUDE,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,20101,00394411000109,00394411000109,,00314727,True,2019-05-23T03:00:00.000+00:00,2023-09-08T15:12:00
810013,SECRETARIA NACIONAL DA FAMÍLIA,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,81000,27136980000100,00394411000109,00394411000109,,True,2019-05-23T03:00:00.000+00:00,2019-12-15T11:30:00
810012,MINISTÉRIO DAS MULHERES,True,True,DF,97012.0,5300108.0,BRASÍLIA,0,,0,,False,,65000,05510958000146,00394411000109,00394411000109,308815,True,2023-06-22T03:00:00.000+00:00,2024-03-18T10:38:00
