codigoUasg,nomeUasg,usoSisg,adesaoSiasg,siglaUf,codigoMunicipio,codigoMunicipioIbge,nomeMunicipioIbge,codigoUnidadePolo,nomeUnidadePolo,codigoUnidadeEspelho,nomeUnidadeEspelho,uasgCadastradora,cnpjCpfUasg,codigoOrgao,cnpjCpfOrgao,cnpjCpfOrgaoVinculado,cnpjCpfOrgaoSuperior,codigoSiorg,statusUasg,dataImplantacaoSidec,dataHoraMovimento
193183,IBAMA - GERÊNCIA EXECUTIVA I - TOCANTINS,True,True,TO,97330.0,1721000.0,PALMAS,0,,0,,True,3659166003470.0,20701,3659166001931,37115375000107.0,394411000109.0,48200,True,1999-07-15T03:00:00.000+00:00,2022-12-17T17:54:00
193129,IBAMA - SUPERINTENDENCIA ESTADUAL/SP,True,True,SP,71072.0,3550308.0,SÃO PAULO,0,,0,,True,3659166002407.0,20701,3659166001931,37115375000107.0,394411000109.0,48524,True,1999-07-15T03:00:00.000+00:00,2024-12-04T13:22:00
193126,IBAMA - SUPERINTENDENCIA ESTADUAL/SE,True,True,SE,31054.0,2800308.0,ARACAJU,0,,0,,True,3659166002318.0,20701,3659166001931,37115375000107.0,394411000109.0,48411,True,1999-07-15T03:00:00.000+00:00,2022-12-17T16:43:00
193125,IBAMA - SUPERINTENDENCIA ESTADUAL/SC,True,True,SC,81051.0,4205407.0,FLORIANÓPOLIS,0,,0,,True,3659166002237.0,20701,3659166001931,37115375000107.0,394411000109.0,46248,True,1999-07-15T03:00:00.000+00:00,2025-04-01T11:46:00
193124,IBAMA-SUPERINTENDENCIA ESTADUAL/RS,True,True,RS,88013.0,4314902.0,PORTO ALEGRE,0,,0,,True,3659166002156.0,20701,3659166001931,37115375000107.0,394411000109.0,1812,True,1999-07-15T03:00:00.000+00:00,2024-06-05T12:31:00
193122,IBAMA - SUPERINTENDENCIA ESTADUAL/RR,True,True,RR,3018.0,1400100.0,BOA VISTA,0,,0,,True,3659166002075.0,20701,3659166001931,37115375000107.0,394411000109.0,48181,True,1999-07-15T03:00:00.000+00:00,2023-10-03T08:29:00
193121,MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/RO,True,True,RO,35.0,1100205.0,PORTO VELHO,0,,0,,True,33633413014201.0,20701,3659166001931,37115375000107.0,394411000109.0,40664,True,1999-07-15T03:00:00.000+00:00,2025-03-06T16:48:00
193120,IBAMA - SUPERINTENDENCIA ESTADUAL/RN,True,True,RN,17612.0,2408102.0,NATAL,0,,0,,True,3659166001850.0,20701,3659166001931,37115375000107.0,394411000109.0,1812,True,1999-07-15T03:00:00.000+00:00,2025-02-04T14:37:00
193119,IBAMA - SUPERINTENDENCIA ESTADUAL/RJ,True,True,RJ,60011.0,3304557.0,RIO DE JANEIRO,0,,0,,True,3659166001770.0,20701,3659166001931,37115375000107.0,394411000109.0,1812,True,1999-07-15T03:00:00.000+00:00,2025-03-27T09:42:00
193118,IBAMA - SUPERINTENDENCIA ESTADUAL/PR,True,True,PR,75353.0,4106902.0,CURITIBA,0,,0,,True,3659166001699.0,20701,3659166001931,37115375000107.0,394411000109.0,48628,True,1999-07-15T03:00:00.000+00:00,2023-10-17T08:37:00
193117,IBAMA - SUPERINTENDENCIA ESTADUAL/PI,True,True,PI,12190.0,2211001.0,TERESINA,193130,ESCRITORIO REGIONAL DE PARNAIBA/PI,0,,True,3659166003047.0,20701,3659166001931,37115375000107.0,394411000109.0,48371,True,1999-07-15T03:00:00.000+00:00,2024-06-14T09:54:00
193116,IBAMA - SUPERINTENDENCIA ESTADUAL/PE,True,True,PE,25313.0,2611606.0,RECIFE,0,,0,,True,3659166001508.0,20701,3659166001931,37115375000107.0,394411000109.0,48365,True,1999-07-15T03:00:00.000+00:00,2025-02-25T08:28:00
193115,MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/PB,True,True,PB,20516.0,2507507.0,JOÃO PESSOA,0,,0,,True,3659166002903.0,20701,3659166001931,37115375000107.0,394411000109.0,48361,True,1999-07-15T03:00:00.000+00:00,2025-04-01T09:23:00
193114,IBAMA - SUPERINTENDENCIA ESTADUAL/PA,True,True,PA,4278.0,1501402.0,BELÉM,0,,0,,True,3659166001427.0,20701,3659166001931,37115375000107.0,394411000109.0,1812,True,1999-07-15T03:00:00.000+00:00,2023-10-23T17:46:00
193113,MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/MT,True,True,MT,90670.0,5103403.0,CUIABÁ,0,,0,,True,3659166001346.0,20701,3659166001931,37115375000107.0,394411000109.0,00048431,True,1999-07-15T03:00:00.000+00:00,2024-08-01T15:29:00
193112,IBAMA-SUPERINTENDENCIA ESTADUAL/MS,True,True,MS,90514.0,5002704.0,CAMPO GRANDE,0,,0,,True,3659166001265.0,20701,3659166001931,37115375000107.0,394411000109.0,40668,True,1999-07-15T03:00:00.000+00:00,2024-10-01T19:48:00
193111,IBAMA - SUPERINTENDENCIA ESTADUAL/MG,True,True,MG,41238.0,3106200.0,BELO HORIZONTE,0,,0,,True,3659166001001.0,20701,3659166001931,37115375000107.0,394411000109.0,1812,True,1999-07-15T03:00:00.000+00:00,2024-05-16T09:15:00
193110,SUPERINTENDENCIA ESTADUAL-IBAMA/MA,True,True,MA,9210.0,2111300.0,SÃO LUÍS,0,,0,,True,3659166002822.0,20701,3659166001931,37115375000107.0,394411000109.0,48254,True,1999-07-15T03:00:00.000+00:00,2025-04-02T14:16:00
193108,IBAMA - GERêNCIA EXECUTIVA EM GOIáS,True,True,GO,93734.0,5208707.0,GOIÂNIA,0,,0,,True,3659166000960.0,20701,3659166001931,37115375000107.0,394411000109.0,48415,True,1999-07-15T03:00:00.000+00:00,2025-04-01T16:54:00
193107,IBAMA - SUPERINTENDENCIA ESTADUAL/ES,True,True,ES,57053.0,3205309.0,VITÓRIA,0,,0,,True,3659166000889.0,20701,3659166001931,37115375000107.0,394411000109.0,40663,True,1999-07-15T03:00:00.000+00:00,2023-07-14T10:20:00
193105,IBAMA - SUPERINTENDENCIA ESTADUAL/AC,True,True,AC,1392.0,1200401.0,RIO BRANCO,0,,0,,True,3659166000293.0,20701,3659166001931,37115375000107.0,394411000109.0,46263,True,1999-07-15T03:00:00.000+00:00,2025-04-01T15:15:00
193104,IBAMA - SUPERINTENDENCIA ESTADUAL/CE,True,True,CE,13897.0,2304400.0,FORTALEZA,0,,0,,True,3659166000617.0,20701,3659166001931,37115375000107.0,394411000109.0,48236,True,1999-07-15T03:00:00.000+00:00,2025-02-03T16:46:00
193103,IBAMA - SUPERINTENDENCIA ESTADUAL/BA,True,True,BA,38490.0,2927408.0,SALVADOR,0,,0,,True,3659166002741.0,20701,3659166001931,37115375000107.0,394411000109.0,48214,True,1999-07-15T03:00:00.000+00:00,2025-03-05T14:27:00
193102,IBAMA - SUPERINTENDENCIA ESTADUAL/AP,True,True,AP,6050.0,1600303.0,MACAPÁ,0,,0,,True,3659166000536.0,20701,3659166001931,37115375000107.0,394411000109.0,46270,True,1999-07-15T03:00:00.000+00:00,2023-07-11T11:42:00
193101,IBAMA - SUPERINTENDENCIA ESTADUAL/AL,True,True,AL,27855.0,2704302.0,MACEIÓ,443033,COORDENAçAO GERAL DE FINANçAS/DF,0,,True,3659166000455.0,20701,3659166001931,37115375000107.0,394411000109.0,48191,True,1999-07-15T03:00:00.000+00:00,2025-04-01T14:44:00
193100,IBAMA - SUPERINTENDENCIA ESTADUAL/AM,True,True,AM,2550.0,1302603.0,MANAUS,0,,0,,True,3659166000374.0,20701,3659166001931,37115375000107.0,394411000109.0,00048126,True,1999-07-15T03:00:00.000+00:00,2025-03-24T14:37:00
